interests,category,preferred_difficulty,past_experience,preferred_language,recommended_course
Data Visualization,data science,beginner,intermediate,English,Data Visualization beginner English
Probability and Statistics,math,intermediate,basic,Hindi,Probability and Statistics intermediate Hindi
R,programming,intermediate,basic,Hindi,R intermediate Hindi
Optics,physics,advanced,advanced,English,Optics advanced English
Probability and Statistics,math,beginner,intermediate,Hindi,Probability and Statistics beginner Hindi
Machine Learning Basics,machine learning,intermediate,none,Hindi,Machine Learning Basics intermediate Hindi
Modern History,history,advanced,basic,Hindi,Modern History advanced Hindi
Electricity and Magnetism,physics,intermediate,advanced,English,Electricity and Magnetism intermediate English
R,programming,beginner,advanced,Hindi,R beginner Hindi
Inorganic Chemistry,chemistry,advanced,basic,English,Inorganic Chemistry advanced English
Calculus,math,advanced,advanced,Hindi,Calculus advanced Hindi
Natural Language Processing,machine learning,intermediate,intermediate,Hindi,Natural Language Processing intermediate Hindi
Medieval History,history,beginner,none,English,Medieval History beginner English
English Literature,literature,advanced,none,English,English Literature advanced English
Poetry,literature,intermediate,intermediate,Hindi,Poetry intermediate Hindi
Geometry,math,beginner,advanced,English,Geometry beginner English
Java,programming,beginner,intermediate,Hindi,Java beginner Hindi
World Wars,history,advanced,none,Hindi,World Wars advanced Hindi
Ruby,programming,beginner,basic,Hindi,Ruby beginner Hindi
Analytical Chemistry,chemistry,intermediate,basic,English,Analytical Chemistry intermediate English
Drama,literature,advanced,advanced,Hindi,Drama advanced Hindi
Deep Learning,machine learning,beginner,advanced,Hindi,Deep Learning beginner Hindi
Physical Chemistry,chemistry,beginner,none,English,Physical Chemistry beginner English
Indian History,history,intermediate,none,English,Indian History intermediate English
Inorganic Chemistry,chemistry,advanced,none,English,Inorganic Chemistry advanced English
Indian History,history,intermediate,none,English,Indian History intermediate English
Ancient History,history,advanced,basic,Hindi,Ancient History advanced Hindi
English Literature,literature,beginner,intermediate,English,English Literature beginner English
Organic Chemistry,chemistry,beginner,intermediate,English,Organic Chemistry beginner English
Probability and Statistics,math,beginner,none,Hindi,Probability and Statistics beginner Hindi
Thermodynamics,physics,beginner,basic,English,Thermodynamics beginner English
Electricity and Magnetism,physics,beginner,advanced,Hindi,Electricity and Magnetism beginner Hindi
Drama,literature,advanced,advanced,English,Drama advanced English
Swift,programming,intermediate,intermediate,Hindi,Swift intermediate Hindi
Electricity and Magnetism,physics,intermediate,intermediate,Hindi,Electricity and Magnetism intermediate Hindi
R,programming,advanced,advanced,English,R advanced English
Optics,physics,beginner,intermediate,Hindi,Optics beginner Hindi
World Literature,literature,beginner,none,Hindi,World Literature beginner Hindi
World Literature,literature,intermediate,intermediate,Hindi,World Literature intermediate Hindi
R,programming,advanced,intermediate,English,R advanced English
Deep Learning,machine learning,intermediate,intermediate,Hindi,Deep Learning intermediate Hindi
PHP,programming,intermediate,basic,Hindi,PHP intermediate Hindi
Data Mining,data science,beginner,basic,English,Data Mining beginner English
Computer Vision,machine learning,intermediate,none,Hindi,Computer Vision intermediate Hindi
Algebra,math,intermediate,basic,English,Algebra intermediate English
Geometry,math,beginner,basic,English,Geometry beginner English
Ruby,programming,beginner,none,Hindi,Ruby beginner Hindi
Data Mining,data science,advanced,intermediate,English,Data Mining advanced English
JavaScript,programming,intermediate,advanced,English,JavaScript intermediate English
Electricity and Magnetism,physics,beginner,advanced,Hindi,Electricity and Magnetism beginner Hindi
World Literature,literature,advanced,basic,Hindi,World Literature advanced Hindi
Electricity and Magnetism,physics,advanced,basic,English,Electricity and Magnetism advanced English
Computer Vision,machine learning,intermediate,advanced,Hindi,Computer Vision intermediate Hindi
Thermodynamics,physics,beginner,intermediate,English,Thermodynamics beginner English
World Literature,literature,beginner,intermediate,English,World Literature beginner English
Calculus,math,intermediate,none,English,Calculus intermediate English
Physical Chemistry,chemistry,beginner,basic,English,Physical Chemistry beginner English
Go,programming,intermediate,advanced,English,Go intermediate English
Ancient History,history,beginner,none,English,Ancient History beginner English
Optics,physics,intermediate,none,English,Optics intermediate English
English Literature,literature,advanced,intermediate,Hindi,English Literature advanced Hindi
Mechanics,physics,advanced,none,English,Mechanics advanced English
Data Visualization,data science,advanced,intermediate,English,Data Visualization advanced English
C++,programming,advanced,none,English,C++ advanced English
Natural Language Processing,machine learning,intermediate,advanced,Hindi,Natural Language Processing intermediate Hindi
Ruby,programming,intermediate,advanced,Hindi,Ruby intermediate Hindi
Calculus,math,beginner,advanced,Hindi,Calculus beginner Hindi
Calculus,math,intermediate,advanced,Hindi,Calculus intermediate Hindi
Calculus,math,beginner,none,Hindi,Calculus beginner Hindi
Algebra,math,intermediate,intermediate,English,Algebra intermediate English
PHP,programming,beginner,none,Hindi,PHP beginner Hindi
Computer Vision,machine learning,beginner,none,Hindi,Computer Vision beginner Hindi
World Wars,history,beginner,basic,Hindi,World Wars beginner Hindi
R,programming,advanced,none,Hindi,R advanced Hindi
Machine Learning Basics,machine learning,intermediate,basic,English,Machine Learning Basics intermediate English
R,programming,advanced,advanced,English,R advanced English
Python,programming,intermediate,advanced,English,Python intermediate English
Deep Learning,machine learning,beginner,basic,English,Deep Learning beginner English
Physical Chemistry,chemistry,intermediate,intermediate,English,Physical Chemistry intermediate English
Computer Vision,machine learning,beginner,basic,English,Computer Vision beginner English
World Wars,history,advanced,none,English,World Wars advanced English
Go,programming,beginner,none,English,Go beginner English
R,programming,intermediate,intermediate,English,R intermediate English
Organic Chemistry,chemistry,beginner,none,English,Organic Chemistry beginner English
Machine Learning Basics,machine learning,intermediate,intermediate,English,Machine Learning Basics intermediate English
Optics,physics,intermediate,none,Hindi,Optics intermediate Hindi
Python,programming,advanced,none,English,Python advanced English
JavaScript,programming,intermediate,none,English,JavaScript intermediate English
Poetry,literature,intermediate,advanced,English,Poetry intermediate English
Ruby,programming,advanced,basic,Hindi,Ruby advanced Hindi
Modern History,history,intermediate,basic,English,Modern History intermediate English
Natural Language Processing,machine learning,beginner,basic,Hindi,Natural Language Processing beginner Hindi
R,programming,intermediate,basic,English,R intermediate English
Data Mining,data science,advanced,intermediate,English,Data Mining advanced English
Data Analysis,data science,beginner,none,Hindi,Data Analysis beginner Hindi
Java,programming,advanced,intermediate,English,Java advanced English
American Literature,literature,intermediate,basic,Hindi,American Literature intermediate Hindi
Modern History,history,intermediate,basic,English,Modern History intermediate English
Algebra,math,advanced,intermediate,Hindi,Algebra advanced Hindi
American Literature,literature,beginner,advanced,English,American Literature beginner English
Probability and Statistics,math,advanced,basic,English,Probability and Statistics advanced English
Data Mining,data science,beginner,none,Hindi,Data Mining beginner Hindi
Machine Learning Basics,machine learning,beginner,basic,English,Machine Learning Basics beginner English
Thermodynamics,physics,beginner,basic,Hindi,Thermodynamics beginner Hindi
Java,programming,beginner,basic,English,Java beginner English
Deep Learning,machine learning,advanced,intermediate,English,Deep Learning advanced English
Organic Chemistry,chemistry,advanced,advanced,English,Organic Chemistry advanced English
Deep Learning,machine learning,intermediate,advanced,Hindi,Deep Learning intermediate Hindi
JavaScript,programming,beginner,intermediate,Hindi,JavaScript beginner Hindi
C++,programming,advanced,none,Hindi,C++ advanced Hindi
Electricity and Magnetism,physics,beginner,none,Hindi,Electricity and Magnetism beginner Hindi
Calculus,math,intermediate,none,Hindi,Calculus intermediate Hindi
Optics,physics,intermediate,none,English,Optics intermediate English
Drama,literature,intermediate,basic,Hindi,Drama intermediate Hindi
Data Visualization,data science,intermediate,none,English,Data Visualization intermediate English
PHP,programming,intermediate,none,English,PHP intermediate English
Modern Physics,physics,advanced,advanced,Hindi,Modern Physics advanced Hindi
Data Mining,data science,intermediate,advanced,English,Data Mining intermediate English
Ruby,programming,beginner,intermediate,English,Ruby beginner English
Data Analysis,data science,advanced,intermediate,Hindi,Data Analysis advanced Hindi
Modern Physics,physics,intermediate,basic,Hindi,Modern Physics intermediate Hindi
Organic Chemistry,chemistry,intermediate,advanced,Hindi,Organic Chemistry intermediate Hindi
Analytical Chemistry,chemistry,intermediate,intermediate,Hindi,Analytical Chemistry intermediate Hindi
Swift,programming,advanced,intermediate,English,Swift advanced English
Mechanics,physics,intermediate,basic,English,Mechanics intermediate English
Data Analysis,data science,beginner,intermediate,English,Data Analysis beginner English
Calculus,math,intermediate,intermediate,English,Calculus intermediate English
Data Mining,data science,advanced,basic,Hindi,Data Mining advanced Hindi
Physical Chemistry,chemistry,beginner,none,Hindi,Physical Chemistry beginner Hindi
Physical Chemistry,chemistry,intermediate,intermediate,English,Physical Chemistry intermediate English
Mechanics,physics,advanced,advanced,English,Mechanics advanced English
Modern Physics,physics,intermediate,intermediate,Hindi,Modern Physics intermediate Hindi
Poetry,literature,beginner,advanced,English,Poetry beginner English
Drama,literature,beginner,basic,Hindi,Drama beginner Hindi
Analytical Chemistry,chemistry,intermediate,intermediate,Hindi,Analytical Chemistry intermediate Hindi
Go,programming,beginner,none,English,Go beginner English
Modern Physics,physics,beginner,basic,Hindi,Modern Physics beginner Hindi
JavaScript,programming,intermediate,intermediate,Hindi,JavaScript intermediate Hindi
Probability and Statistics,math,advanced,advanced,English,Probability and Statistics advanced English
PHP,programming,advanced,intermediate,English,PHP advanced English
Number Theory,math,beginner,advanced,Hindi,Number Theory beginner Hindi
Number Theory,math,intermediate,basic,Hindi,Number Theory intermediate Hindi
Calculus,math,advanced,advanced,English,Calculus advanced English
Go,programming,intermediate,none,Hindi,Go intermediate Hindi
American Literature,literature,advanced,basic,English,American Literature advanced English
Java,programming,advanced,intermediate,Hindi,Java advanced Hindi
Analytical Chemistry,chemistry,advanced,none,Hindi,Analytical Chemistry advanced Hindi
R,programming,intermediate,basic,Hindi,R intermediate Hindi
JavaScript,programming,advanced,advanced,English,JavaScript advanced English
Thermodynamics,physics,beginner,advanced,English,Thermodynamics beginner English
Python,programming,intermediate,basic,Hindi,Python intermediate Hindi
American Literature,literature,beginner,basic,English,American Literature beginner English
Indian History,history,beginner,intermediate,English,Indian History beginner English
Medieval History,history,intermediate,basic,Hindi,Medieval History intermediate Hindi
Machine Learning Basics,machine learning,beginner,intermediate,Hindi,Machine Learning Basics beginner Hindi
Java,programming,beginner,advanced,Hindi,Java beginner Hindi
Thermodynamics,physics,beginner,intermediate,English,Thermodynamics beginner English
PHP,programming,beginner,none,English,PHP beginner English
Data Analysis,data science,intermediate,intermediate,English,Data Analysis intermediate English
Probability and Statistics,math,advanced,none,English,Probability and Statistics advanced English
Data Visualization,data science,beginner,advanced,English,Data Visualization beginner English
PHP,programming,intermediate,advanced,English,PHP intermediate English
World Wars,history,beginner,advanced,Hindi,World Wars beginner Hindi
Modern Physics,physics,beginner,advanced,English,Modern Physics beginner English
Drama,literature,beginner,basic,Hindi,Drama beginner Hindi
Probability and Statistics,math,advanced,none,English,Probability and Statistics advanced English
R,programming,advanced,intermediate,Hindi,R advanced Hindi
Analytical Chemistry,chemistry,intermediate,advanced,English,Analytical Chemistry intermediate English
Physical Chemistry,chemistry,intermediate,advanced,Hindi,Physical Chemistry intermediate Hindi
World Literature,literature,intermediate,advanced,English,World Literature intermediate English
American Literature,literature,beginner,intermediate,English,American Literature beginner English
Data Analysis,data science,beginner,none,English,Data Analysis beginner English
Medieval History,history,advanced,intermediate,Hindi,Medieval History advanced Hindi
Data Visualization,data science,beginner,advanced,Hindi,Data Visualization beginner Hindi
World Literature,literature,advanced,basic,Hindi,World Literature advanced Hindi
C++,programming,advanced,intermediate,Hindi,C++ advanced Hindi
Data Analysis,data science,advanced,none,English,Data Analysis advanced English
Probability and Statistics,math,advanced,intermediate,Hindi,Probability and Statistics advanced Hindi
Geometry,math,intermediate,none,English,Geometry intermediate English
English Literature,literature,advanced,intermediate,English,English Literature advanced English
JavaScript,programming,intermediate,basic,Hindi,JavaScript intermediate Hindi
R,programming,advanced,basic,English,R advanced English
American Literature,literature,beginner,intermediate,English,American Literature beginner English
Indian History,history,beginner,advanced,Hindi,Indian History beginner Hindi
Data Analysis,data science,beginner,advanced,English,Data Analysis beginner English
Geometry,math,advanced,advanced,Hindi,Geometry advanced Hindi
Java,programming,advanced,intermediate,English,Java advanced English
Indian History,history,intermediate,intermediate,English,Indian History intermediate English
R,programming,advanced,basic,Hindi,R advanced Hindi
Poetry,literature,intermediate,basic,Hindi,Poetry intermediate Hindi
Organic Chemistry,chemistry,advanced,basic,Hindi,Organic Chemistry advanced Hindi
Natural Language Processing,machine learning,intermediate,none,Hindi,Natural Language Processing intermediate Hindi
Mechanics,physics,beginner,none,English,Mechanics beginner English
Poetry,literature,advanced,advanced,Hindi,Poetry advanced Hindi
Indian History,history,beginner,advanced,English,Indian History beginner English
Ruby,programming,advanced,basic,English,Ruby advanced English
Calculus,math,advanced,basic,English,Calculus advanced English
Geometry,math,intermediate,advanced,English,Geometry intermediate English
Modern Physics,physics,advanced,intermediate,English,Modern Physics advanced English
English Literature,literature,beginner,basic,Hindi,English Literature beginner Hindi
Indian History,history,intermediate,intermediate,English,Indian History intermediate English
Python,programming,advanced,basic,English,Python advanced English
Poetry,literature,advanced,none,English,Poetry advanced English
PHP,programming,beginner,none,Hindi,PHP beginner Hindi
Analytical Chemistry,chemistry,beginner,intermediate,English,Analytical Chemistry beginner English
Physical Chemistry,chemistry,intermediate,intermediate,Hindi,Physical Chemistry intermediate Hindi
Java,programming,advanced,basic,English,Java advanced English
Modern History,history,advanced,none,Hindi,Modern History advanced Hindi
Inorganic Chemistry,chemistry,beginner,intermediate,Hindi,Inorganic Chemistry beginner Hindi
Go,programming,beginner,advanced,English,Go beginner English
Geometry,math,advanced,intermediate,Hindi,Geometry advanced Hindi
Analytical Chemistry,chemistry,intermediate,none,English,Analytical Chemistry intermediate English
Swift,programming,beginner,advanced,English,Swift beginner English
Thermodynamics,physics,intermediate,basic,Hindi,Thermodynamics intermediate Hindi
Poetry,literature,beginner,intermediate,English,Poetry beginner English
Ancient History,history,beginner,basic,English,Ancient History beginner English
Electricity and Magnetism,physics,intermediate,advanced,Hindi,Electricity and Magnetism intermediate Hindi
Geometry,math,beginner,none,English,Geometry beginner English
Probability and Statistics,math,advanced,basic,English,Probability and Statistics advanced English
Data Visualization,data science,advanced,intermediate,Hindi,Data Visualization advanced Hindi
Java,programming,intermediate,advanced,English,Java intermediate English
Probability and Statistics,math,intermediate,intermediate,English,Probability and Statistics intermediate English
JavaScript,programming,beginner,advanced,English,JavaScript beginner English
World Literature,literature,advanced,advanced,Hindi,World Literature advanced Hindi
Machine Learning Basics,machine learning,advanced,basic,Hindi,Machine Learning Basics advanced Hindi
Medieval History,history,advanced,intermediate,Hindi,Medieval History advanced Hindi
Ancient History,history,intermediate,intermediate,English,Ancient History intermediate English
Ruby,programming,beginner,none,English,Ruby beginner English
C++,programming,advanced,intermediate,English,C++ advanced English
Ruby,programming,intermediate,none,English,Ruby intermediate English
English Literature,literature,advanced,intermediate,English,English Literature advanced English
Calculus,math,advanced,advanced,Hindi,Calculus advanced Hindi
World Wars,history,intermediate,advanced,Hindi,World Wars intermediate Hindi
Big Data,data science,beginner,basic,English,Big Data beginner English
Data Visualization,data science,advanced,intermediate,Hindi,Data Visualization advanced Hindi
Mechanics,physics,advanced,basic,English,Mechanics advanced English
Medieval History,history,advanced,none,English,Medieval History advanced English
Electricity and Magnetism,physics,beginner,advanced,Hindi,Electricity and Magnetism beginner Hindi
Java,programming,beginner,intermediate,English,Java beginner English
Thermodynamics,physics,advanced,basic,English,Thermodynamics advanced English
Java,programming,advanced,intermediate,English,Java advanced English
Natural Language Processing,machine learning,beginner,none,Hindi,Natural Language Processing beginner Hindi
Probability and Statistics,math,beginner,basic,English,Probability and Statistics beginner English
World Wars,history,intermediate,basic,Hindi,World Wars intermediate Hindi
Inorganic Chemistry,chemistry,beginner,basic,Hindi,Inorganic Chemistry beginner Hindi
Organic Chemistry,chemistry,beginner,basic,English,Organic Chemistry beginner English
Data Mining,data science,intermediate,none,Hindi,Data Mining intermediate Hindi
Java,programming,beginner,none,English,Java beginner English
PHP,programming,intermediate,basic,English,PHP intermediate English
JavaScript,programming,intermediate,basic,English,JavaScript intermediate English
Modern History,history,advanced,none,English,Modern History advanced English
Go,programming,intermediate,advanced,English,Go intermediate English
Indian History,history,beginner,basic,Hindi,Indian History beginner Hindi
Data Mining,data science,beginner,none,Hindi,Data Mining beginner Hindi
Natural Language Processing,machine learning,advanced,none,Hindi,Natural Language Processing advanced Hindi
Modern Physics,physics,beginner,intermediate,English,Modern Physics beginner English
Number Theory,math,intermediate,intermediate,Hindi,Number Theory intermediate Hindi
Modern History,history,beginner,none,English,Modern History beginner English
Swift,programming,intermediate,none,English,Swift intermediate English
Analytical Chemistry,chemistry,beginner,advanced,Hindi,Analytical Chemistry beginner Hindi
Java,programming,intermediate,intermediate,English,Java intermediate English
Indian History,history,advanced,basic,English,Indian History advanced English
Optics,physics,advanced,advanced,English,Optics advanced English
Indian History,history,beginner,intermediate,English,Indian History beginner English
Poetry,literature,advanced,basic,Hindi,Poetry advanced Hindi
Inorganic Chemistry,chemistry,intermediate,basic,English,Inorganic Chemistry intermediate English
Medieval History,history,intermediate,advanced,English,Medieval History intermediate English
Thermodynamics,physics,advanced,intermediate,Hindi,Thermodynamics advanced Hindi
Data Mining,data science,intermediate,intermediate,English,Data Mining intermediate English
Modern History,history,beginner,basic,Hindi,Modern History beginner Hindi
PHP,programming,beginner,advanced,English,PHP beginner English
Python,programming,beginner,none,English,Python beginner English
Poetry,literature,intermediate,none,English,Poetry intermediate English
World Wars,history,advanced,basic,English,World Wars advanced English
Probability and Statistics,math,intermediate,basic,Hindi,Probability and Statistics intermediate Hindi
Electricity and Magnetism,physics,beginner,advanced,English,Electricity and Magnetism beginner English
Data Mining,data science,intermediate,none,English,Data Mining intermediate English
Natural Language Processing,machine learning,intermediate,advanced,Hindi,Natural Language Processing intermediate Hindi
Electricity and Magnetism,physics,advanced,none,English,Electricity and Magnetism advanced English
Organic Chemistry,chemistry,beginner,basic,Hindi,Organic Chemistry beginner Hindi
Go,programming,beginner,basic,English,Go beginner English
Natural Language Processing,machine learning,advanced,intermediate,Hindi,Natural Language Processing advanced Hindi
Drama,literature,beginner,basic,English,Drama beginner English
Ancient History,history,intermediate,advanced,English,Ancient History intermediate English
Data Mining,data science,advanced,basic,English,Data Mining advanced English
Modern Physics,physics,intermediate,intermediate,Hindi,Modern Physics intermediate Hindi
Data Analysis,data science,beginner,intermediate,English,Data Analysis beginner English
Ruby,programming,intermediate,intermediate,English,Ruby intermediate English
Geometry,math,intermediate,intermediate,Hindi,Geometry intermediate Hindi
World Literature,literature,advanced,basic,English,World Literature advanced English
World Literature,literature,beginner,basic,English,World Literature beginner English
Inorganic Chemistry,chemistry,advanced,advanced,Hindi,Inorganic Chemistry advanced Hindi
Modern History,history,advanced,none,English,Modern History advanced English
Poetry,literature,intermediate,intermediate,English,Poetry intermediate English
World Literature,literature,advanced,advanced,English,World Literature advanced English
JavaScript,programming,beginner,basic,English,JavaScript beginner English
Computer Vision,machine learning,intermediate,none,Hindi,Computer Vision intermediate Hindi
Java,programming,advanced,intermediate,Hindi,Java advanced Hindi
Modern History,history,intermediate,intermediate,English,Modern History intermediate English
Computer Vision,machine learning,beginner,basic,Hindi,Computer Vision beginner Hindi
Ancient History,history,advanced,intermediate,English,Ancient History advanced English
Geometry,math,intermediate,none,English,Geometry intermediate English
